scope,database,mutation,pattern,n_pattern,n_db_total,n_db_eversig,n_db_classifiable,pct_of_db_total,pct_of_db_eversig,pct_of_db_classifiable
per_database,tf,R403C,Late_onset,1,272,66,8,0.37,1.52,12.50
per_database,tf,R403C,Transient,0,272,66,8,0.00,0.00,0.00
per_database,tf,R403C,Natural_improvement,3,272,66,8,1.10,4.55,37.50
per_database,tf,R403C,Natural_worsening,0,272,66,8,0.00,0.00,0.00
per_database,tf,R403C,Complex,58,272,66,8,21.32,87.88,NA
per_database,gobp,G32A,Compensation,497,4785,1902,885,10.39,26.13,56.16
per_database,gobp,G32A,Sign_reversal,87,4785,1902,885,1.82,4.57,9.83
per_database,gobp,G32A,Progressive,0,4785,1902,885,0.00,0.00,0.00
per_database,gobp,G32A,Late_onset,9,4785,1902,885,0.19,0.47,1.02
per_database,gobp,G32A,Transient,1,4785,1902,885,0.02,0.05,0.11
per_database,gobp,G32A,Natural_improvement,291,4785,1902,885,6.08,15.30,32.88
per_database,gobp,G32A,Natural_worsening,0,4785,1902,885,0.00,0.00,0.00
per_database,gobp,G32A,Complex,1017,4785,1902,885,21.25,53.47,NA
per_database,gobp,R403C,Compensation,550,4785,1902,1112,11.49,28.92,49.46
per_database,gobp,R403C,Sign_reversal,120,4785,1902,1112,2.51,6.31,10.79
per_database,gobp,R403C,Progressive,0,4785,1902,1112,0.00,0.00,0.00
per_database,gobp,R403C,Late_onset,6,4785,1902,1112,0.13,0.32,0.54
per_database,gobp,R403C,Transient,4,4785,1902,1112,0.08,0.21,0.36
per_database,gobp,R403C,Natural_improvement,432,4785,1902,1112,9.03,22.71,38.85
per_database,gobp,R403C,Natural_worsening,0,4785,1902,1112,0.00,0.00,0.00
per_database,gobp,R403C,Complex,790,4785,1902,1112,16.51,41.54,NA
per_database,gocc,G32A,Compensation,148,627,405,207,23.60,36.54,71.50
per_database,gocc,G32A,Sign_reversal,7,627,405,207,1.12,1.73,3.38
per_database,gocc,G32A,Progressive,0,627,405,207,0.00,0.00,0.00
per_database,gocc,G32A,Late_onset,5,627,405,207,0.80,1.23,2.42
per_database,gocc,G32A,Transient,0,627,405,207,0.00,0.00,0.00
per_database,gocc,G32A,Natural_improvement,47,627,405,207,7.50,11.60,22.71
per_database,gocc,G32A,Natural_worsening,0,627,405,207,0.00,0.00,0.00
per_database,gocc,G32A,Complex,198,627,405,207,31.58,48.89,NA
per_database,gocc,R403C,Compensation,147,627,405,255,23.44,36.30,57.65
per_database,gocc,R403C,Sign_reversal,29,627,405,255,4.63,7.16,11.37
per_database,gocc,R403C,Progressive,0,627,405,255,0.00,0.00,0.00
per_database,gocc,R403C,Late_onset,8,627,405,255,1.28,1.98,3.14
per_database,gocc,R403C,Transient,1,627,405,255,0.16,0.25,0.39
per_database,gocc,R403C,Natural_improvement,70,627,405,255,11.16,17.28,27.45
per_database,gocc,R403C,Natural_worsening,0,627,405,255,0.00,0.00,0.00
per_database,gocc,R403C,Complex,150,627,405,255,23.92,37.04,NA
per_database,gomf,G32A,Compensation,84,1025,334,164,8.20,25.15,51.22
per_database,gomf,G32A,Sign_reversal,12,1025,334,164,1.17,3.59,7.32
per_database,gomf,G32A,Progressive,0,1025,334,164,0.00,0.00,0.00
per_database,gomf,G32A,Late_onset,1,1025,334,164,0.10,0.30,0.61
per_database,gomf,G32A,Transient,0,1025,334,164,0.00,0.00,0.00
per_database,gomf,G32A,Natural_improvement,67,1025,334,164,6.54,20.06,40.85
per_database,gomf,G32A,Natural_worsening,0,1025,334,164,0.00,0.00,0.00
per_database,gomf,G32A,Complex,170,1025,334,164,16.59,50.90,NA
per_database,gomf,R403C,Compensation,80,1025,334,178,7.80,23.95,44.94
per_database,gomf,R403C,Sign_reversal,24,1025,334,178,2.34,7.19,13.48
per_database,gomf,R403C,Progressive,0,1025,334,178,0.00,0.00,0.00
per_database,gomf,R403C,Late_onset,12,1025,334,178,1.17,3.59,6.74
per_database,gomf,R403C,Transient,2,1025,334,178,0.20,0.60,1.12
per_database,gomf,R403C,Natural_improvement,60,1025,334,178,5.85,17.96,33.71
per_database,gomf,R403C,Natural_worsening,0,1025,334,178,0.00,0.00,0.00
per_database,gomf,R403C,Complex,156,1025,334,178,15.22,46.71,NA
per_database,MitoCarta,G32A,Compensation,9,72,25,9,12.50,36.00,100.00
per_database,MitoCarta,G32A,Sign_reversal,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Progressive,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Late_onset,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Transient,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Natural_improvement,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Natural_worsening,0,72,25,9,0.00,0.00,0.00
per_database,MitoCarta,G32A,Complex,16,72,25,9,22.22,64.00,NA
per_database,MitoCarta,R403C,Compensation,5,72,25,18,6.94,20.00,27.78
per_database,MitoCarta,R403C,Sign_reversal,3,72,25,18,4.17,12.00,16.67
per_database,MitoCarta,R403C,Progressive,0,72,25,18,0.00,0.00,0.00
per_database,MitoCarta,R403C,Late_onset,8,72,25,18,11.11,32.00,44.44
per_database,MitoCarta,R403C,Transient,0,72,25,18,0.00,0.00,0.00
per_database,MitoCarta,R403C,Natural_improvement,2,72,25,18,2.78,8.00,11.11
per_database,MitoCarta,R403C,Natural_worsening,0,72,25,18,0.00,0.00,0.00
per_database,MitoCarta,R403C,Complex,7,72,25,18,9.72,28.00,NA
per_database,SynGO,G32A,Compensation,0,32,23,4,0.00,0.00,0.00
per_database,SynGO,G32A,Sign_reversal,2,32,23,4,6.25,8.70,50.00
per_database,SynGO,G32A,Progressive,0,32,23,4,0.00,0.00,0.00
per_database,SynGO,G32A,Late_onset,1,32,23,4,3.12,4.35,25.00
per_database,SynGO,G32A,Transient,0,32,23,4,0.00,0.00,0.00
per_database,SynGO,G32A,Natural_improvement,1,32,23,4,3.12,4.35,25.00
per_database,SynGO,G32A,Natural_worsening,0,32,23,4,0.00,0.00,0.00
