"pathway_id","gene_symbol"
"SYNGO:presyn_ribosome","RPL38"
"SYNGO:postsyn_ribosome","RPL38"
"GO:0014069","RPL4"
"SYNGO:presyn_ribosome","RPL4"
"SYNGO:postsyn_ribosome","RPL4"
"SYNGO:presyn_ribosome","RPL5"
"GO:0014069","RPL5"
"SYNGO:postsyn_ribosome","RPL5"
"GO:0014069","RPL6"
"SYNGO:postsyn_ribosome","RPL6"
"SYNGO:presyn_ribosome","RPL6"
"SYNGO:postsyn_ribosome","RPL7"
"SYNGO:presyn_ribosome","RPL7"
"GO:0014069","RPL7"
"SYNGO:presyn_ribosome","RPL7A"
"SYNGO:postsyn_ribosome","RPL7A"
"SYNGO:postsyn_ribosome","RPL8"
"GO:0014069","RPL8"
"SYNGO:presyn_ribosome","RPL8"
"SYNGO:postsyn_ribosome","RPL9"
"SYNGO:presyn_ribosome","RPL9"
"GO:0014069","RPLP0"
"SYNGO:postsyn_ribosome","RPLP0"
"SYNGO:presyn_ribosome","RPLP0"
"GO:0014069","RPLP0"
"SYNGO:postsyn_ribosome","RPLP1"
"SYNGO:postsyn_ribosome","RPLP2"
"SYNGO:presyn_ribosome","RPLP2"
"SYNGO:presyn_ribosome","RPS10"
"SYNGO:postsyn_ribosome","RPS10"
"SYNGO:presyn_ribosome","RPS11"
"SYNGO:postsyn_ribosome","RPS11"
"SYNGO:postsyn_ribosome","RPS12"
"SYNGO:presyn_ribosome","RPS12"
"SYNGO:postsyn_ribosome","RPS13"
"SYNGO:presyn_ribosome","RPS13"
"GO:0014069","RPS13"
"SYNGO:presyn_ribosome","RPS14"
"GO:0014069","RPS14"
"SYNGO:postsyn_ribosome","RPS14"
"SYNGO:postsyn_ribosome","RPS15"
"SYNGO:postsyn_ribosome","RPS15A"
"SYNGO:presyn_ribosome","RPS15A"
"SYNGO:postsyn_ribosome","RPS16"
"SYNGO:presyn_ribosome","RPS16"
"SYNGO:postsyn_ribosome","RPS17"
"SYNGO:postsyn_ribosome","RPS18"
"GO:0014069","RPS18"
"GO:0014069","RPS19"
"SYNGO:postsyn_ribosome","RPS19"
"SYNGO:postsyn_ribosome","RPS2"
"SYNGO:postsyn_ribosome","RPS20"
"SYNGO:postsyn_ribosome","RPS21"
"SYNGO:postsyn_ribosome","RPS23"
"SYNGO:presyn_ribosome","RPS24"
"SYNGO:postsyn_ribosome","RPS24"
"GO:0014069","RPS25"
"SYNGO:postsyn_ribosome","RPS26"
"SYNGO:presyn_ribosome","RPS26"
"GO:0014069","RPS27"
"SYNGO:postsyn_ribosome","RPS27"
"SYNGO:presyn_ribosome","RPS27"
"SYNGO:presyn_ribosome","RPS27A"
"SYNGO:postsyn_ribosome","RPS27A"
"SYNGO:presyn_ribosome","RPS28"
"SYNGO:postsyn_ribosome","RPS28"
"SYNGO:postsyn_ribosome","RPS3"
"GO:0014069","RPS3"
"SYNGO:postsyn_ribosome","RPS3A"
"SYNGO:presyn_ribosome","RPS5"
"SYNGO:postsyn_ribosome","RPS5"
"SYNGO:postsyn_ribosome","RPS6"
"SYNGO:presyn_ribosome","RPS6"
"GO:0014069","RPS6KA1"
"GO:0014069","RPS6KC1"
"SYNGO:postsyn_ribosome","RPS7"
"SYNGO:postsyn_ribosome","RPS8"
"SYNGO:postsyn_ribosome","RPS9"
"SYNGO:postsyn_ribosome","RPSA"
"GO:0014069","SAMD4A"
"GO:0099524","SENP1"
"GO:0099523","SENP1"
"GO:0099523","SENP5"
"GO:0099524","SENP5"
"GO:0099524","SENP6"
"GO:0099523","SENP6"
"GO:0099524","SENP7"
"GO:0099523","SENP7"
"GO:0099523","SH3GL2"
"GO:0014069","SH3KBP1"
"GO:0014069","SHANK1"
"GO:0014069","SHANK2"
"GO:0014069","SHANK3"
"GO:0014069","SHARPIN"
"GO:0014069","SLC6A9"
"GO:0014069","SNAP47"
"GO:0045211","SNAP91"
"GO:0099523","SNCB"
"GO:0014069","SOS1"
"GO:0014069","SPOCK1"
"GO:0014069","SRGAP2"
"GO:0014069","STAT3"
"GO:0014069","STRN"
"GO:0099523","STXBP1"
"GO:0099523","STXBP5"
"GO:0099524","SUMO1"
"GO:0099523","SUMO1"
"GO:0099523","SUMO2"
"GO:0099524","SUMO2"
"GO:0099523","SUMO3"
"GO:0099524","SUMO3"
"GO:0014069","SYNCRIP"
"GO:0099523","SYT1"
"GO:0045211","SYT1"
"GO:0014069","SYT1"
"GO:0099524","SYT1"
"GO:0014069","TACC3"
"GO:0014069","TAMALIN"
"GO:0014069","TANC2"
"GO:0099523","TNK2"
"GO:0099524","TNK2"
"GO:0099523","TRIM9"
"GO:0014069","TSC1"
"GO:0014069","TSC2"
"SYNGO:presyn_ribosome","UBA52"
"SYNGO:postsyn_ribosome","UBA52"
"GO:0099524","UBE2I"
"GO:0099523","UBE2I"
"GO:0014069","UBE2V1"
"GO:0099524","UBE3A"
"GO:0099523","USP14"
"GO:0014069","USP8"
"GO:0014069","VAMP2"
"GO:0099524","VAMP2"
"GO:0014069","VHL"
"GO:0014069","ZDHHC2"
"GOBP_RIBOSOME_BIOGENESIS","AATF"
"GOBP_RIBOSOME_BIOGENESIS","AATF"
"GOBP_RIBOSOME_BIOGENESIS","ABCE1"
"GOBP_RIBOSOME_BIOGENESIS","ABT1"
"GOBP_RIBOSOME_BIOGENESIS","BMS1"
"GOBP_RIBOSOME_BIOGENESIS","BOP1"
"GOBP_RIBOSOME_BIOGENESIS","BOP1"
"GOBP_RIBOSOME_BIOGENESIS","BRIX1"
"GOBP_RIBOSOME_BIOGENESIS","BUD23"
"GOBP_RIBOSOME_BIOGENESIS","BYSL"
"GOBP_RIBOSOME_BIOGENESIS","C1D"
"GOBP_RIBOSOME_BIOGENESIS","C1QBP"
"GOBP_RIBOSOME_BIOGENESIS","CHD7"
"GOBP_RIBOSOME_BIOGENESIS","CUL4A"
"GOBP_RIBOSOME_BIOGENESIS","CUL4B"
"GOBP_RIBOSOME_BIOGENESIS","DCAF13"
"GOBP_RIBOSOME_BIOGENESIS","DDX10"
"GOBP_RIBOSOME_BIOGENESIS","DDX17"
"GOBP_RIBOSOME_BIOGENESIS","DDX18"
"GOBP_RIBOSOME_BIOGENESIS","DDX21"
"GOBP_RIBOSOME_BIOGENESIS","DDX27"
"GOBP_RIBOSOME_BIOGENESIS","DDX28"
"GOBP_RIBOSOME_BIOGENESIS","DDX31"
"GOBP_RIBOSOME_BIOGENESIS","DDX3X"
"GOBP_RIBOSOME_BIOGENESIS","DDX47"
"GOBP_RIBOSOME_BIOGENESIS","DDX49"
"GOBP_RIBOSOME_BIOGENESIS","DDX51"
"GOBP_RIBOSOME_BIOGENESIS","DDX51"
"GOBP_RIBOSOME_BIOGENESIS","DDX52"
"GOBP_RIBOSOME_BIOGENESIS","DDX52"
"GOBP_RIBOSOME_BIOGENESIS","DDX54"
"GOBP_RIBOSOME_BIOGENESIS","DDX56"
"GOBP_RIBOSOME_BIOGENESIS","DHX29"
"GOBP_RIBOSOME_BIOGENESIS","DHX30"
"GOBP_RIBOSOME_BIOGENESIS","DHX37"
"GOBP_RIBOSOME_BIOGENESIS","DIMT1"
"GOBP_RIBOSOME_BIOGENESIS","DIS3"
"GOBP_RIBOSOME_BIOGENESIS","DKC1"
"GOBP_RIBOSOME_BIOGENESIS","DROSHA"
"GOBP_RIBOSOME_BIOGENESIS","EBNA1BP2"
"GOBP_RIBOSOME_BIOGENESIS","EFL1"
"GOBP_RIBOSOME_BIOGENESIS","EIF2A"
"GOBP_RIBOSOME_BIOGENESIS","EIF4A3"
"GOBP_RIBOSOME_BIOGENESIS","EIF6"
"GOBP_RIBOSOME_BIOGENESIS","EMG1"
"GOBP_RIBOSOME_BIOGENESIS","ENSG00000275464"
