ne,ns,ir,wr,mut,n_total,Comp,SR,Prog,NI,NW,LO,Tr,Complex,Classif,Comp_class_pct,NI_class_pct
0.6,0.8,0.8,1.3,G32A,5267,1590,145,0,871,2,94,19,2546,2721,58.43439911797133,32.01029033443587
0.6,0.8,0.8,1.3,R403C,5267,1832,202,0,1215,4,73,39,1902,3365,54.442793462109954,36.10698365527489
0.6,0.8,0.8,1.4,G32A,5267,1590,145,0,871,1,94,19,2547,2720,58.455882352941174,32.02205882352941
0.6,0.8,0.8,1.4,R403C,5267,1832,202,0,1215,1,73,39,1905,3362,54.491374182034505,36.13920285544319
0.6,1.0,0.6,1.25,G32A,5267,1190,397,0,479,4,94,19,3084,2183,54.51213925790197,21.942281264315163
0.6,1.0,0.6,1.25,R403C,5267,1246,624,0,665,8,73,39,2612,2655,46.930320150659135,25.04708097928437
0.6,1.0,0.6,1.3,G32A,5267,1190,397,0,479,2,94,19,3086,2181,54.56212746446584,21.96240256762953
0.6,1.0,0.6,1.3,R403C,5267,1246,624,0,665,4,73,39,2616,2651,47.00113164843455,25.084873632591474
0.6,1.0,0.6,1.4,G32A,5267,1190,397,0,479,1,94,19,3087,2180,54.58715596330275,21.972477064220183
0.6,1.0,0.6,1.4,R403C,5267,1246,624,0,665,1,73,39,2619,2648,47.05438066465257,25.113293051359516
0.6,1.0,0.7,1.25,G32A,5267,1462,244,0,712,4,94,19,2732,2535,57.67258382642998,28.086785009861934
0.6,1.0,0.7,1.25,R403C,5267,1612,386,0,972,8,73,39,2177,3090,52.16828478964401,31.45631067961165
0.6,1.0,0.7,1.3,G32A,5267,1462,244,0,712,2,94,19,2734,2533,57.718120805369125,28.108961705487562
0.6,1.0,0.7,1.3,R403C,5267,1612,386,0,972,4,73,39,2181,3086,52.23590408295528,31.497083603370058
0.6,1.0,0.7,1.4,G32A,5267,1462,244,0,712,1,94,19,2735,2532,57.74091627172196,28.12006319115324
0.6,1.0,0.7,1.4,R403C,5267,1612,386,0,972,1,73,39,2184,3083,52.286733700940644,31.52773272786247
0.6,1.0,0.8,1.25,G32A,5267,1590,145,0,871,4,94,19,2544,2723,58.39147998531032,31.986779287550497
0.6,1.0,0.8,1.25,R403C,5267,1832,202,0,1215,8,73,39,1898,3369,54.37815375482339,36.064113980409616
0.6,1.0,0.8,1.3,G32A,5267,1590,145,0,871,2,94,19,2546,2721,58.43439911797133,32.01029033443587
0.6,1.0,0.8,1.3,R403C,5267,1832,202,0,1215,4,73,39,1902,3365,54.442793462109954,36.10698365527489
0.6,1.0,0.8,1.4,G32A,5267,1590,145,0,871,1,94,19,2547,2720,58.455882352941174,32.02205882352941
0.6,1.0,0.8,1.4,R403C,5267,1832,202,0,1215,1,73,39,1905,3362,54.491374182034505,36.13920285544319
0.6,1.2,0.6,1.25,G32A,5267,1190,397,0,479,4,94,19,3084,2183,54.51213925790197,21.942281264315163
0.6,1.2,0.6,1.25,R403C,5267,1246,624,0,665,8,73,39,2612,2655,46.930320150659135,25.04708097928437
0.6,1.2,0.6,1.3,G32A,5267,1190,397,0,479,2,94,19,3086,2181,54.56212746446584,21.96240256762953
0.6,1.2,0.6,1.3,R403C,5267,1246,624,0,665,4,73,39,2616,2651,47.00113164843455,25.084873632591474
0.6,1.2,0.6,1.4,G32A,5267,1190,397,0,479,1,94,19,3087,2180,54.58715596330275,21.972477064220183
0.6,1.2,0.6,1.4,R403C,5267,1246,624,0,665,1,73,39,2619,2648,47.05438066465257,25.113293051359516
0.6,1.2,0.7,1.25,G32A,5267,1462,244,0,712,4,94,19,2732,2535,57.67258382642998,28.086785009861934
0.6,1.2,0.7,1.25,R403C,5267,1612,386,0,972,8,73,39,2177,3090,52.16828478964401,31.45631067961165
0.6,1.2,0.7,1.3,G32A,5267,1462,244,0,712,2,94,19,2734,2533,57.718120805369125,28.108961705487562
0.6,1.2,0.7,1.3,R403C,5267,1612,386,0,972,4,73,39,2181,3086,52.23590408295528,31.497083603370058
0.6,1.2,0.7,1.4,G32A,5267,1462,244,0,712,1,94,19,2735,2532,57.74091627172196,28.12006319115324
0.6,1.2,0.7,1.4,R403C,5267,1612,386,0,972,1,73,39,2184,3083,52.286733700940644,31.52773272786247
0.6,1.2,0.8,1.25,G32A,5267,1590,145,0,871,4,94,19,2544,2723,58.39147998531032,31.986779287550497
0.6,1.2,0.8,1.25,R403C,5267,1832,202,0,1215,8,73,39,1898,3369,54.37815375482339,36.064113980409616
0.6,1.2,0.8,1.3,G32A,5267,1590,145,0,871,2,94,19,2546,2721,58.43439911797133,32.01029033443587
0.6,1.2,0.8,1.3,R403C,5267,1832,202,0,1215,4,73,39,1902,3365,54.442793462109954,36.10698365527489
0.6,1.2,0.8,1.4,G32A,5267,1590,145,0,871,1,94,19,2547,2720,58.455882352941174,32.02205882352941
0.6,1.2,0.8,1.4,R403C,5267,1832,202,0,1215,1,73,39,1905,3362,54.491374182034505,36.13920285544319
